"","ensemblGeneID","geneLength","geneName","geneBiotype"
"80","ENSG00000005100",5789,"DHX33","protein_coding"
"81","ENSG00000005102",2674,"MEOX1","protein_coding"
"82","ENSG00000005108",10921,"THSD7A","protein_coding"
"83","ENSG00000005156",12901,"LIG3","protein_coding"
"84","ENSG00000005175",5350,"RPAP3","protein_coding"
"85","ENSG00000005187",7510,"ACSM3","protein_coding"
"86","ENSG00000005189",4114,"REXO5","protein_coding"
"87","ENSG00000005194",3383,"CIAPIN1","protein_coding"
"88","ENSG00000005206",7419,"SPPL2B","protein_coding"
"89","ENSG00000005238",6409,"FAM214B","protein_coding"
"90","ENSG00000005243",1866,"COPZ2","protein_coding"
"91","ENSG00000005249",4262,"PRKAR2B","protein_coding"
"92","ENSG00000005302",9780,"MSL3","protein_coding"
"93","ENSG00000005339",15492,"CREBBP","protein_coding"
"94","ENSG00000005379",11389,"TSPOAP1","protein_coding"
"95","ENSG00000005381",3527,"MPO","protein_coding"
"96","ENSG00000005421",2657,"PON1","protein_coding"
"97","ENSG00000005436",5462,"GCFC2","protein_coding"
"98","ENSG00000005448",2860,"WDR54","protein_coding"
"99","ENSG00000005469",4979,"CROT","protein_coding"
"100","ENSG00000005471",7727,"ABCB4","protein_coding"
"101","ENSG00000005483",9949,"KMT2E","protein_coding"
"102","ENSG00000005486",2390,"RHBDD2","protein_coding"
"103","ENSG00000005513",4470,"SOX8","protein_coding"
"104","ENSG00000005700",8719,"IBTK","protein_coding"
"105","ENSG00000005801",11711,"ZNF195","protein_coding"
"106","ENSG00000005810",15987,"MYCBP2","protein_coding"
"107","ENSG00000005812",7076,"FBXL3","protein_coding"
"108","ENSG00000005844",6411,"ITGAL","protein_coding"
"109","ENSG00000005882",5471,"PDK2","protein_coding"
"110","ENSG00000005884",9802,"ITGA3","protein_coding"
"111","ENSG00000005889",9037,"ZFX","protein_coding"
"112","ENSG00000005893",5526,"LAMP2","protein_coding"
"113","ENSG00000005961",5695,"ITGA2B","protein_coding"
"114","ENSG00000005981",4606,"ASB4","protein_coding"
"115","ENSG00000006007",4390,"GDE1","protein_coding"
"116","ENSG00000006015",3370,"REX1BD","protein_coding"
"117","ENSG00000006016",2967,"CRLF1","protein_coding"
"118","ENSG00000006025",6572,"OSBPL7","protein_coding"
"119","ENSG00000006042",5187,"TMEM98","protein_coding"
"120","ENSG00000006047",4631,"YBX2","protein_coding"
"121","ENSG00000006059",1303,"KRT33A","protein_coding"
"122","ENSG00000006062",5668,"MAP3K14","protein_coding"
"123","ENSG00000006071",12588,"ABCC8","protein_coding"
"124","ENSG00000006116",3088,"CACNG3","protein_coding"
"125","ENSG00000006118",7271,"TMEM132A","protein_coding"
"126","ENSG00000006125",7591,"AP2B1","protein_coding"
"127","ENSG00000006128",1712,"TAC1","protein_coding"
"128","ENSG00000006194",6403,"ZNF263","protein_coding"
"129","ENSG00000006210",5960,"CX3CL1","protein_coding"
"130","ENSG00000006282",5337,"SPATA20","protein_coding"
"131","ENSG00000006283",10062,"CACNA1G","protein_coding"
"132","ENSG00000006327",1848,"TNFRSF12A","protein_coding"
"133","ENSG00000006377",3445,"DLX6","protein_coding"
"134","ENSG00000006432",12386,"MAP3K9","protein_coding"
"135","ENSG00000006451",3579,"RALA","protein_coding"
"136","ENSG00000006453",4821,"BAIAP2L1","protein_coding"
"137","ENSG00000006459",9378,"KDM7A","protein_coding"
"138","ENSG00000006468",9615,"ETV1","protein_coding"
"139","ENSG00000006530",10697,"AGK","protein_coding"
"140","ENSG00000006534",6626,"ALDH3B1","protein_coding"
"141","ENSG00000006555",6111,"TTC22","protein_coding"
"142","ENSG00000006576",8646,"PHTF2","protein_coding"
"143","ENSG00000006606",706,"CCL26","protein_coding"
"144","ENSG00000006607",14371,"FARP2","protein_coding"
"145","ENSG00000006611",4904,"USH1C","protein_coding"
"146","ENSG00000006625",1594,"GGCT","protein_coding"
"147","ENSG00000006634",4595,"DBF4","protein_coding"
"148","ENSG00000006638",2793,"TBXA2R","protein_coding"
"149","ENSG00000006652",7462,"IFRD1","protein_coding"
"150","ENSG00000006659",904,"LGALS14","protein_coding"
"151","ENSG00000006695",6756,"COX10","protein_coding"
"152","ENSG00000006704",6498,"GTF2IRD1","protein_coding"
"153","ENSG00000006712",2850,"PAF1","protein_coding"
"154","ENSG00000006715",7752,"VPS41","protein_coding"
"155","ENSG00000006740",9322,"ARHGAP44","protein_coding"
"156","ENSG00000006744",7002,"ELAC2","protein_coding"
"157","ENSG00000006747",11626,"SCIN","protein_coding"
"158","ENSG00000006756",7026,"ARSD","protein_coding"
"159","ENSG00000006757",3411,"PNPLA4","protein_coding"
"160","ENSG00000006788",6120,"MYH13","protein_coding"
"161","ENSG00000006831",5831,"ADIPOR2","protein_coding"
"162","ENSG00000006837",3149,"CDKL3","protein_coding"
"163","ENSG00000007001",2957,"UPP2","protein_coding"
"164","ENSG00000007038",1967,"PRSS21","protein_coding"
"165","ENSG00000007047",6656,"MARK4","protein_coding"
"166","ENSG00000007062",7434,"PROM1","protein_coding"
"167","ENSG00000007080",1661,"CCDC124","protein_coding"
"168","ENSG00000007129",1977,"CEACAM21","protein_coding"
"169","ENSG00000007168",8219,"PAFAH1B1","protein_coding"
"170","ENSG00000007171",4399,"NOS2","protein_coding"
"171","ENSG00000007174",16941,"DNAH9","protein_coding"
"172","ENSG00000007202",9232,"KIAA0100","protein_coding"
"173","ENSG00000007216",3226,"SLC13A2","protein_coding"
"174","ENSG00000007237",10100,"GAS7","protein_coding"
"175","ENSG00000007255",933,"TRAPPC6A","protein_coding"
"176","ENSG00000007264",4138,"MATK","protein_coding"
"177","ENSG00000007306",2653,"CEACAM7","protein_coding"
"178","ENSG00000007312",2080,"CD79B","protein_coding"
"179","ENSG00000007314",8243,"SCN4A","protein_coding"
"180","ENSG00000007341",8108,"ST7L","protein_coding"
"181","ENSG00000007350",3526,"TKTL1","protein_coding"
"182","ENSG00000007372",20639,"PAX6","protein_coding"
"183","ENSG00000007376",2769,"RPUSD1","protein_coding"
"184","ENSG00000007384",4914,"RHBDF1","protein_coding"
"185","ENSG00000007392",6176,"LUC7L","protein_coding"
"186","ENSG00000007402",6322,"CACNA2D2","protein_coding"
"187","ENSG00000007516",6146,"BAIAP3","protein_coding"
"188","ENSG00000007520",1210,"TSR3","protein_coding"
"189","ENSG00000007541",7904,"PIGQ","protein_coding"
"190","ENSG00000007545",8373,"CRAMP1","protein_coding"
"191","ENSG00000007866",3049,"TEAD3","protein_coding"
"192","ENSG00000007908",4586,"SELE","protein_coding"
"193","ENSG00000007923",5083,"DNAJC11","protein_coding"
"194","ENSG00000007933",3439,"FMO3","protein_coding"
"195","ENSG00000007944",3072,"MYLIP","protein_coding"
"196","ENSG00000007952",2543,"NOX1","protein_coding"
"197","ENSG00000007968",5462,"E2F2","protein_coding"
"198","ENSG00000008018",2219,"PSMB1","protein_coding"
"199","ENSG00000008056",3733,"SYN1","protein_coding"
"200","ENSG00000008083",6244,"JARID2","protein_coding"
"201","ENSG00000008086",18933,"CDKL5","protein_coding"
"202","ENSG00000008118",3328,"CAMK1G","protein_coding"
"203","ENSG00000008128",5085,"CDK11A","protein_coding"
"204","ENSG00000008130",5570,"NADK","protein_coding"
"205","ENSG00000008196",6155,"TFAP2B","protein_coding"
"206","ENSG00000008197",1856,"TFAP2D","protein_coding"
"207","ENSG00000008226",8338,"DLEC1","protein_coding"
"208","ENSG00000008256",5808,"CYTH3","protein_coding"
"209","ENSG00000008277",12199,"ADAM22","protein_coding"
"210","ENSG00000008282",2804,"SYPL1","protein_coding"
"211","ENSG00000008283",5296,"CYB561","protein_coding"
"212","ENSG00000008294",11966,"SPAG9","protein_coding"
"213","ENSG00000008300",13850,"CELSR3","protein_coding"
"214","ENSG00000008311",6664,"AASS","protein_coding"
"215","ENSG00000008323",4260,"PLEKHG6","protein_coding"
"216","ENSG00000008324",1298,"SS18L2","protein_coding"
"217","ENSG00000008382",2049,"MPND","protein_coding"
"218","ENSG00000008394",7441,"MGST1","protein_coding"
"219","ENSG00000008405",4782,"CRY1","protein_coding"
"220","ENSG00000008438",708,"PGLYRP1","protein_coding"
"221","ENSG00000008441",6302,"NFIX","protein_coding"
"222","ENSG00000008513",8852,"ST3GAL1","protein_coding"
"223","ENSG00000008516",4246,"MMP25","protein_coding"
"224","ENSG00000008517",3209,"IL32","protein_coding"
"225","ENSG00000008710",18532,"PKD1","protein_coding"
"226","ENSG00000008735",5793,"MAPK8IP2","protein_coding"
"227","ENSG00000008838",6962,"MED24","protein_coding"
"228","ENSG00000008853",6580,"RHOBTB2","protein_coding"
"229","ENSG00000008869",8238,"HEATR5B","protein_coding"
"230","ENSG00000008952",7928,"SEC62","protein_coding"
"231","ENSG00000008988",3002,"RPS20","protein_coding"
"232","ENSG00000009307",5778,"CSDE1","protein_coding"
"233","ENSG00000009335",9215,"UBE3C","protein_coding"
"234","ENSG00000009413",12425,"REV3L","protein_coding"
"235","ENSG00000009694",12896,"TENM1","protein_coding"
"236","ENSG00000009709",6473,"PAX7","protein_coding"
"237","ENSG00000009724",4257,"MASP2","protein_coding"
"238","ENSG00000009765",10362,"IYD","protein_coding"
"239","ENSG00000009780",4034,"FAM76A","protein_coding"
"240","ENSG00000009790",7750,"TRAF3IP3","protein_coding"
"241","ENSG00000009830",10008,"POMT2","protein_coding"
"242","ENSG00000009844",7258,"VTA1","protein_coding"
"243","ENSG00000009950",4815,"MLXIPL","protein_coding"
"244","ENSG00000009954",7060,"BAZ1B","protein_coding"
"245","ENSG00000010017",3618,"RANBP9","protein_coding"
"246","ENSG00000010030",2374,"ETV7","protein_coding"
"247","ENSG00000010072",5906,"SPRTN","protein_coding"
"248","ENSG00000010165",3831,"EEF1AKNMT","protein_coding"
"249","ENSG00000010219",7054,"DYRK4","protein_coding"
"250","ENSG00000010244",15834,"ZNF207","protein_coding"
"251","ENSG00000010256",3204,"UQCRC1","protein_coding"
"252","ENSG00000010270",4348,"STARD3NL","protein_coding"
"253","ENSG00000010278",4165,"CD9","protein_coding"
"254","ENSG00000010282",2888,"HHATL","protein_coding"
"255","ENSG00000010292",6470,"NCAPD2","protein_coding"
"256","ENSG00000010295",5203,"IFFO1","protein_coding"
"257","ENSG00000010310",5069,"GIPR","protein_coding"
"258","ENSG00000010318",3364,"PHF7","protein_coding"
"259","ENSG00000010319",5047,"SEMA3G","protein_coding"
"260","ENSG00000010322",9062,"NISCH","protein_coding"
"261","ENSG00000010327",10588,"STAB1","protein_coding"
"262","ENSG00000010361",2953,"FUZ","protein_coding"
"263","ENSG00000010379",4243,"SLC6A13","protein_coding"
"264","ENSG00000010404",9294,"IDS","protein_coding"
"265","ENSG00000010438",1664,"PRSS3","protein_coding"
"266","ENSG00000010539",7498,"ZNF200","protein_coding"
"267","ENSG00000010610",4557,"CD4","protein_coding"
"268","ENSG00000010626",3052,"LRRC23","protein_coding"
"269","ENSG00000010671",4575,"BTK","protein_coding"
"270","ENSG00000010704",5675,"HFE","protein_coding"
"271","ENSG00000010803",4447,"SCMH1","protein_coding"
"272","ENSG00000010810",7411,"FYN","protein_coding"
"273","ENSG00000010818",10655,"HIVEP2","protein_coding"
"274","ENSG00000010932",3602,"FMO1","protein_coding"
"275","ENSG00000011007",5391,"ELOA","protein_coding"
"276","ENSG00000011009",2021,"LYPLA2","protein_coding"
"277","ENSG00000011021",8173,"CLCN6","protein_coding"
"278","ENSG00000011028",6591,"MRC2","protein_coding"
"279","ENSG00000011052",1241,"NME1-NME2","protein_coding"
"280","ENSG00000011083",4277,"SLC6A7","protein_coding"
"281","ENSG00000011105",6905,"TSPAN9","protein_coding"
"282","ENSG00000011114",11333,"BTBD7","protein_coding"
"283","ENSG00000011132",5596,"APBA3","protein_coding"
"284","ENSG00000011143",4078,"MKS1","protein_coding"
"285","ENSG00000011198",7539,"ABHD5","protein_coding"
"286","ENSG00000011201",7082,"ANOS1","protein_coding"
"287","ENSG00000011243",5079,"AKAP8L","protein_coding"
"288","ENSG00000011258",7184,"MBTD1","protein_coding"
"289","ENSG00000011260",2703,"UTP18","protein_coding"
"290","ENSG00000011275",7619,"RNF216","protein_coding"
"291","ENSG00000011295",6054,"TTC19","protein_coding"
"292","ENSG00000011304",6883,"PTBP1","protein_coding"
"293","ENSG00000011332",4800,"DPF1","protein_coding"
"294","ENSG00000011347",5953,"SYT7","protein_coding"
"295","ENSG00000011376",12407,"LARS2","protein_coding"
"296","ENSG00000011405",9204,"PIK3C2A","protein_coding"
"297","ENSG00000011422",4457,"PLAUR","protein_coding"
"298","ENSG00000011426",5997,"ANLN","protein_coding"
"299","ENSG00000011451",9826,"WIZ","protein_coding"
"300","ENSG00000011454",9151,"RABGAP1","protein_coding"
"301","ENSG00000011465",12548,"DCN","protein_coding"
"302","ENSG00000011478",2213,"QPCTL","protein_coding"
"303","ENSG00000011485",7089,"PPP5C","protein_coding"
"304","ENSG00000011523",8623,"CEP68","protein_coding"
"305","ENSG00000011566",6056,"MAP4K3","protein_coding"
"306","ENSG00000011590",2739,"ZBTB32","protein_coding"
"307","ENSG00000011600",907,"TYROBP","protein_coding"
"308","ENSG00000011638",2558,"TMEM159","protein_coding"
"309","ENSG00000011677",4150,"GABRA3","protein_coding"
"310","ENSG00000012048",9306,"BRCA1","protein_coding"
"311","ENSG00000012061",5576,"ERCC1","protein_coding"
"312","ENSG00000012124",6165,"CD22","protein_coding"
"313","ENSG00000012171",5768,"SEMA3B","protein_coding"
"314","ENSG00000012174",8945,"MBTPS2","protein_coding"
"315","ENSG00000012211",3656,"PRICKLE3","protein_coding"
"316","ENSG00000012223",3989,"LTF","protein_coding"
"317","ENSG00000012232",13046,"EXTL3","protein_coding"
"318","ENSG00000012504",3628,"NR1H4","protein_coding"
"319","ENSG00000012660",3813,"ELOVL5","protein_coding"
"320","ENSG00000012779",3730,"ALOX5","protein_coding"
"321","ENSG00000012817",9463,"KDM5D","protein_coding"
"322","ENSG00000012822",8898,"CALCOCO1","protein_coding"
"323","ENSG00000012963",3509,"UBR7","protein_coding"
"324","ENSG00000012983",7620,"MAP4K5","protein_coding"
"325","ENSG00000013016",4825,"EHD3","protein_coding"
"326","ENSG00000013275",2550,"PSMC4","protein_coding"
"327","ENSG00000013288",8884,"MAN2B2","protein_coding"
"328","ENSG00000013293",10496,"SLC7A14","protein_coding"
"329","ENSG00000013297",3732,"CLDN11","protein_coding"
"330","ENSG00000013306",3526,"SLC25A39","protein_coding"
"331","ENSG00000013364",6141,"MVP","protein_coding"
"332","ENSG00000013374",5411,"NUB1","protein_coding"
"333","ENSG00000013375",7478,"PGM3","protein_coding"
"334","ENSG00000013392",3769,"RWDD2A","protein_coding"
"335","ENSG00000013441",5170,"CLK1","protein_coding"
"336","ENSG00000013503",4768,"POLR3B","protein_coding"
"337","ENSG00000013523",6366,"ANGEL1","protein_coding"
"338","ENSG00000013561",4988,"RNF14","protein_coding"
"339","ENSG00000013563",4132,"DNASE1L1","protein_coding"
"340","ENSG00000013573",8367,"DDX11","protein_coding"
"341","ENSG00000013583",3428,"HEBP1","protein_coding"
"342","ENSG00000013588",8440,"GPRC5A","protein_coding"
"343","ENSG00000013619",5958,"MAMLD1","protein_coding"
"344","ENSG00000013725",5958,"CD6","protein_coding"
"345","ENSG00000013810",8202,"TACC3","protein_coding"
"346","ENSG00000014123",4539,"UFL1","protein_coding"
"347","ENSG00000014138",5568,"POLA2","protein_coding"
"348","ENSG00000014164",3721,"ZC3H3","protein_coding"
"349","ENSG00000014216",7553,"CAPN1","protein_coding"
"350","ENSG00000014257",4280,"ACPP","protein_coding"
"351","ENSG00000014641",4990,"MDH1","protein_coding"
"352","ENSG00000014824",7199,"SLC30A9","protein_coding"
"353","ENSG00000014914",4572,"MTMR11","protein_coding"
"354","ENSG00000014919",4177,"COX15","protein_coding"
"355","ENSG00000015133",12426,"CCDC88C","protein_coding"
"356","ENSG00000015153",10839,"YAF2","protein_coding"
"357","ENSG00000015171",5300,"ZMYND11","protein_coding"
"358","ENSG00000015285",2381,"WAS","protein_coding"
"359","ENSG00000015413",2737,"DPEP1","protein_coding"
"360","ENSG00000015475",4446,"BID","protein_coding"
"361","ENSG00000015479",12064,"MATR3","protein_coding"
"362","ENSG00000015520",5252,"NPC1L1","protein_coding"
"363","ENSG00000015532",5472,"XYLT2","protein_coding"
"364","ENSG00000015568",14185,"RGPD5","protein_coding"
"365","ENSG00000015592",3294,"STMN4","protein_coding"
"366","ENSG00000015676",9893,"NUDCD3","protein_coding"
"367","ENSG00000016082",2817,"ISL1","protein_coding"
"368","ENSG00000016391",7787,"CHDH","protein_coding"
"369","ENSG00000016402",4730,"IL20RA","protein_coding"
"370","ENSG00000016490",3340,"CLCA1","protein_coding"
"371","ENSG00000016602",3447,"CLCA4","protein_coding"
"372","ENSG00000016864",3783,"GLT8D1","protein_coding"
"373","ENSG00000017260",8533,"ATP2C1","protein_coding"
"374","ENSG00000017427",8122,"IGF1","protein_coding"
"375","ENSG00000017483",4018,"SLC38A5","protein_coding"
"376","ENSG00000017797",8041,"RALBP1","protein_coding"
"377","ENSG00000018189",9405,"RUFY3","protein_coding"
"378","ENSG00000018236",7492,"CNTN1","protein_coding"
"379","ENSG00000018280",8676,"SLC11A1","protein_coding"
"380","ENSG00000018408",8413,"WWTR1","protein_coding"
"381","ENSG00000018510",8850,"AGPS","protein_coding"
"382","ENSG00000018607",1774,"ZNF806","unprocessed_pseudogene"
"383","ENSG00000018610",2580,"CXorf56","protein_coding"
"384","ENSG00000018625",6298,"ATP1A2","protein_coding"
"385","ENSG00000018699",3443,"TTC27","protein_coding"
"386","ENSG00000018869",3350,"ZNF582","protein_coding"
"387","ENSG00000019102",1447,"VSIG2","protein_coding"
"388","ENSG00000019144",21715,"PHLDB1","protein_coding"
"389","ENSG00000019169",2079,"MARCO","protein_coding"
"390","ENSG00000019186",3988,"CYP24A1","protein_coding"
"391","ENSG00000019485",13940,"PRDM11","protein_coding"
"392","ENSG00000019505",5445,"SYT13","protein_coding"
"393","ENSG00000019549",3281,"SNAI2","protein_coding"
"394","ENSG00000019582",4780,"CD74","protein_coding"
"395","ENSG00000019991",9753,"HGF","protein_coding"
"396","ENSG00000019995",5993,"ZRANB1","protein_coding"
"397","ENSG00000020129",4917,"NCDN","protein_coding"
"398","ENSG00000020181",7084,"ADGRA2","protein_coding"
"399","ENSG00000020219",1674,"CCT8L1P","processed_pseudogene"
"400","ENSG00000020256",6790,"ZFP64","protein_coding"
"401","ENSG00000020426",3877,"MNAT1","protein_coding"
"402","ENSG00000020577",12170,"SAMD4A","protein_coding"
"403","ENSG00000020633",4523,"RUNX3","protein_coding"
"404","ENSG00000020922",7689,"MRE11","protein_coding"
"405","ENSG00000021300",4933,"PLEKHB1","protein_coding"
"406","ENSG00000021355",3047,"SERPINB1","protein_coding"
"407","ENSG00000021461",2637,"CYP3A43","protein_coding"
"408","ENSG00000021488",2598,"SLC7A9","protein_coding"
"409","ENSG00000021574",9490,"SPAST","protein_coding"
"410","ENSG00000021645",15535,"NRXN3","protein_coding"
"411","ENSG00000021762",7473,"OSBPL5","protein_coding"
"412","ENSG00000021776",13431,"AQR","protein_coding"
"413","ENSG00000021826",10864,"CPS1","protein_coding"
"414","ENSG00000021852",2732,"C8B","protein_coding"
"415","ENSG00000022267",5862,"FHL1","protein_coding"
"416","ENSG00000022277",4063,"RTF2","protein_coding"
"417","ENSG00000022355",8420,"GABRA1","protein_coding"
"418","ENSG00000022556",6313,"NLRP2","protein_coding"
"419","ENSG00000022567",8608,"SLC45A4","protein_coding"
"420","ENSG00000022840",5900,"RNF10","protein_coding"
"421","ENSG00000022976",5590,"ZNF839","protein_coding"
"422","ENSG00000023041",3748,"ZDHHC6","protein_coding"
"423","ENSG00000023171",14944,"GRAMD1B","protein_coding"
"424","ENSG00000023191",7374,"RNH1","protein_coding"
"425","ENSG00000023228",12174,"NDUFS1","protein_coding"
"426","ENSG00000023287",7613,"RB1CC1","protein_coding"
"427","ENSG00000023318",4808,"ERP44","protein_coding"
"428","ENSG00000023330",2536,"ALAS1","protein_coding"
"429","ENSG00000023445",7518,"BIRC3","protein_coding"
"430","ENSG00000023516",9915,"AKAP11","protein_coding"
"431","ENSG00000023572",6210,"GLRX2","protein_coding"
"432","ENSG00000023608",2593,"SNAPC1","protein_coding"
"433","ENSG00000023697",2813,"DERA","protein_coding"
"434","ENSG00000023734",2215,"STRAP","protein_coding"
"435","ENSG00000023839",7837,"ABCC2","protein_coding"
"436","ENSG00000023892",2579,"DEF6","protein_coding"
"437","ENSG00000023902",6629,"PLEKHO1","protein_coding"
"438","ENSG00000023909",5426,"GCLM","protein_coding"
"439","ENSG00000024048",8840,"UBR2","protein_coding"
"440","ENSG00000024422",3844,"EHD2","protein_coding"
"441","ENSG00000024526",5904,"DEPDC1","protein_coding"
"442","ENSG00000024862",1507,"CCDC28A","protein_coding"
"443","ENSG00000025039",5095,"RRAGD","protein_coding"
"444","ENSG00000025156",2697,"HSF2","protein_coding"
"445","ENSG00000025293",8372,"PHF20","protein_coding"
"446","ENSG00000025423",2272,"HSD17B6","protein_coding"
"447","ENSG00000025434",4534,"NR1H3","protein_coding"
"448","ENSG00000025708",3600,"TYMP","protein_coding"
"449","ENSG00000025770",4459,"NCAPH2","protein_coding"
"450","ENSG00000025772",1973,"TOMM34","protein_coding"
"451","ENSG00000025796",8606,"SEC63","protein_coding"
"452","ENSG00000025800",7457,"KPNA6","protein_coding"
"453","ENSG00000026025",5176,"VIM","protein_coding"
"454","ENSG00000026036",9093,"RTEL1-TNFRSF6B","protein_coding"
"455","ENSG00000026103",5578,"FAS","protein_coding"
"456","ENSG00000026297",7643,"RNASET2","protein_coding"
"457","ENSG00000026508",10004,"CD44","protein_coding"
"458","ENSG00000026559",5415,"KCNG1","protein_coding"
"459","ENSG00000026652",14253,"AGPAT4","protein_coding"
"460","ENSG00000026751",4833,"SLAMF7","protein_coding"
"461","ENSG00000026950",5539,"BTN3A1","protein_coding"
"462","ENSG00000027001",3388,"MIPEP","protein_coding"
"463","ENSG00000027075",8830,"PRKCH","protein_coding"
"464","ENSG00000027644",5200,"INSRR","protein_coding"
"465","ENSG00000027697",3277,"IFNGR1","protein_coding"
"466","ENSG00000027847",4878,"B4GALT7","protein_coding"
"467","ENSG00000027869",2512,"SH2D2A","protein_coding"
"468","ENSG00000028116",3531,"VRK2","protein_coding"
"469","ENSG00000028137",3778,"TNFRSF1B","protein_coding"
"470","ENSG00000028203",8766,"VEZT","protein_coding"
"471","ENSG00000028277",9072,"POU2F2","protein_coding"
"472","ENSG00000028310",9549,"BRD9","protein_coding"
"473","ENSG00000028528",9789,"SNX1","protein_coding"
"474","ENSG00000028839",5039,"TBPL1","protein_coding"
"475","ENSG00000029153",6983,"ARNTL2","protein_coding"
"476","ENSG00000029363",9533,"BCLAF1","protein_coding"
"477","ENSG00000029364",7138,"SLC39A9","protein_coding"
"478","ENSG00000029534",10797,"ANK1","protein_coding"
"479","ENSG00000029559",1573,"IBSP","protein_coding"
"480","ENSG00000029639",4111,"TFB1M","protein_coding"
"481","ENSG00000029725",7059,"RABEP1","protein_coding"
"482","ENSG00000029993",3914,"HMGB3","protein_coding"
